Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1321773_sample-4_model,csk-wtcat_apo/seed-1321773_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.06,70.62,14.38,,,6.68,14.06,3.36,,,,,3.46,8.06,7.36,10.01,3.84,8.22,4.57,3.25,3.32,3.51,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-0_model,csk-wtcat_apo/seed-1328343_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.12,73.4,13.73,,,6.4,13.6,2.76,,,,,3.45,8.08,7.34,9.8,3.73,8.09,4.64,3.23,4.84,3.52,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-1_model,csk-wtcat_apo/seed-1328343_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.37,75.45,14.18,,,6.39,13.61,2.75,,,,,3.42,8.14,7.34,9.84,3.7,8.06,5.01,3.29,3.61,3.53,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-2_model,csk-wtcat_apo/seed-1328343_sample-2,model.cif,A,CSK-WT,Inactive (BLBminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLBminus,NTin,CTin,54.16,69.38,15.18,,,6.23,14.45,3.23,,,,,3.23,8.12,7.38,9.98,4.12,8.03,4.96,3.43,3.64,3.53,N/A,0.92
csk-wtcat_apo_seed-1328343_sample-3_model,csk-wtcat_apo/seed-1328343_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.42,73.65,14.32,,,6.33,13.58,2.74,,,,,3.42,8.13,7.35,9.81,3.7,8.04,5.0,3.33,3.53,3.52,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-4_model,csk-wtcat_apo/seed-1328343_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.55,69.39,14.09,,,6.43,13.58,2.73,,,,,3.42,8.15,7.36,9.77,3.75,8.03,5.05,3.34,3.61,3.53,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-0_model,csk-wtcat_apo/seed-1332499_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.46,73.78,14.29,,,6.43,13.72,2.71,,,,,3.43,8.12,7.36,9.83,3.72,8.03,5.04,3.34,3.53,3.51,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-1_model,csk-wtcat_apo/seed-1332499_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.71,72.56,13.57,,,6.37,13.5,2.74,,,,,3.42,8.14,7.36,9.87,3.74,8.2,5.06,3.32,4.06,3.52,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-2_model,csk-wtcat_apo/seed-1332499_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.76,74.3,14.07,,,6.44,13.49,2.77,,,,,3.47,8.06,7.36,9.84,3.72,8.16,4.63,3.23,3.45,3.53,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-3_model,csk-wtcat_apo/seed-1332499_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.06,73.95,13.96,,,6.45,13.63,2.75,,,,,3.47,8.13,7.41,9.89,3.73,8.2,5.05,3.35,4.63,3.5,N/A,0.93
