Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-csk-wtcat-apo_b-src-wtcat-apo_seed-4012_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-4012_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-464356_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-464356_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-464356_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-464356_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-464356_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-apo_seed-493196_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-493196_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-493196_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-493196_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-493196_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-598626_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-598626_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-598626_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-598626_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-598626_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641110_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641110_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641110_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641110_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641110_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641138_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641138_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641138_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 5
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641138_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-641138_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1110358_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1110358_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1110358_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1110358_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1110358_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1164200_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1164200_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1164200_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1164200_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1164200_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-132814_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-132814_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-132814_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-132814_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-132814_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1345148_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1345148_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
