chainA_metric,chainB_metric,homologous,rho_raw,p_raw,rho_partial,p_partial,n_conditions,fdr_raw,fdr_partial
Substrate_Clearance_Angle,HRD_ATP_Dist,False,-0.0549118991504273,0.4439117343332737,-0.07100713543966759,0.3268809164279194,2,0.7318450659105848,0.6606435363595844
aCb4_aE_Dist,SB_Dist,False,0.027354064140455676,0.4465356123839843,0.026923637243204193,0.45783721898336127,7,0.7318450659105848,0.7604101727666207
Phi_D,V104_RS2_Dist,False,-0.027340288041550344,0.44676470091820564,-0.026493418401998935,0.46505766874887655,7,0.7318450659105848,0.7612145164795837
Shell_M118_M120_Dist,HRD_ATP_Dist,False,-0.05061578393352286,0.4483338837429218,-0.0314800711746795,0.6419663253226264,3,0.7318450659105848,0.8721051966647001
I150_HRD_Dist,K105_E121_Dist,False,0.02719628217665836,0.4491634243228104,0.020689779724468945,0.5683662380406427,7,0.7318450659105848,0.8246321237063229
PLoop_ATP_Dist,K105_E107_Dist,False,0.03221551025370826,0.44977978009088027,0.021054192103622634,0.6239691390001965,4,0.7318450659105848,0.8601876798435784
D220_HRD_Dist,Phi_D,False,-0.026863015090384267,0.4547425501918241,-0.017814520438952167,0.6233101764743458,7,0.7322893235185993,0.8601876798435784
Phi_D,K105_E121_Dist,False,0.026818580605399794,0.45548934564126076,0.03169788917508668,0.38204019498077724,7,0.7322893235185993,0.7030516048208553
K105_E121_Dist,I150_HRD_Dist,False,-0.02680385314227554,0.4557370169943735,-0.026485767225516547,0.4651866489597456,7,0.7322893235185993,0.7612145164795837
Y156_N99_Dist,Interface_N_Lobe_Rec_Dist,False,0.026797899937432212,0.4558371533271206,0.021084150366790618,0.5610139777756755,7,0.7322893235185993,0.8160203313100735
Y156_N99_Dist,Phi_D,False,0.026763887930950025,0.4564094915680159,0.028707833687953037,0.4285718533416192,7,0.7322893235185993,0.7413134760503683
D220_HRD_Dist,Mg_Hijack_Dist,False,-0.049369501430990566,0.4596057263304454,-0.060281681197204694,0.3728600634457091,3,0.7329923603661443,0.6950401182677296
D1_Dist,DFG_Mg_Dist,False,0.04936115674448144,0.4596817249763465,0.08084851441511155,0.23156969596027777,3,0.7329923603661443,0.5777765411339318
Interface_C_Lobe_Donor_Dist,Shell_M118_M120_Dist,False,-0.02651172385277871,0.46066533759122263,-0.008238176893031244,0.8203335414569204,7,0.7329923603661443,0.9340865081828615
